--------|------------|------------
PubMedID| Date Crea. | Date Comp. 
--------|------------|------------
28379934|Apr 04, 2017|Oct 10, 2017
27744128|Oct 10, 2016|Jan 01, 2017
22379185|Mar 03, 2012|Feb 02, 2013
26020254|May 05, 2015|Nov 11, 2016
26020256|May 05, 2015|Nov 11, 2016
22342016|Feb 02, 2012|Apr 04, 2012
25005647|Jul 07, 2014|Jul 07, 2014
27482893|Aug 08, 2016|Jul 07, 2017
24945882|Jun 06, 2014|Dec 12, 2014
27098408|Apr 04, 2016|Dec 12, 2017
26020261|May 05, 2015|Nov 11, 2016
28111008|Jan 01, 2017|Dec 12, 2017
27723497|Oct 10, 2016|Sep 09, 2017
26384554|Sep 09, 2015|Jan 01, 2017
24160283|Oct 10, 2013|Jun 06, 2014
27992851|Dec 12, 2016|Sep 09, 2017
28269929|Mar 03, 2017|Aug 08, 2017
22156836|Dec 12, 2011|Aug 08, 2012
26823929|Jan 01, 2016|Nov 11, 2016
25885266|Apr 04, 2015|Apr 04, 2016
28975246|Oct 10, 2017|Jan 01, 2018
25439163|Dec 12, 2014|Oct 10, 2016
27743142|Oct 10, 2016|Oct 10, 2017
25271665|Oct 10, 2014|Nov 11, 2015
23477280|Mar 03, 2013|Apr 04, 2013
28269918|Mar 03, 2017|Aug 08, 2017
25936937|May 05, 2015|Nov 11, 2016
22533131|Apr 04, 2012|May 05, 2012
23638453|May 05, 2013|Apr 04, 2015
26958171|Mar 03, 2016|Feb 02, 2017
24448045|Jan 01, 2014|Apr 04, 2014
28521519|May 05, 2017|Aug 08, 2017
26422543|Oct 10, 2015|May 05, 2016
28647680|Jun 06, 2017|Mar 03, 2018
26426945|Oct 10, 2015|Jan 01, 2017
22797449|Jul 07, 2012|Jul 07, 2012
24819082|May 05, 2014|Nov 11, 2015
